GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Finance App Refactoring,com.university.finance.pattern.strategy,TransferStrategy,8,77,2,14,3,19,2,12,0,6
Finance App Refactoring,com.university.finance.pattern.strategy,WithdrawStrategy,2,58,1,9,1,12,1,8,0,4
Finance App Refactoring,com.university.finance.pattern.strategy,TransactionStrategy,5,0,0,0,1,0,1,0,1,0
Finance App Refactoring,com.university.finance.pattern.strategy,DepositStrategy,2,54,1,7,1,12,1,7,0,4
Finance App Refactoring,com.university.finance.pattern.factory,AccountFactory,0,134,1,15,0,30,1,15,0,8
Finance App Refactoring,com.university.finance.pattern.factory,UserFactory,0,153,1,23,0,35,1,20,0,9
Finance App Refactoring,com.university.finance.service,TransactionService,8,131,2,10,3,35,2,18,0,14
Finance App Refactoring,com.university.finance.service,BankingService,96,266,12,16,25,61,16,24,6,20
Finance App Refactoring,com.university.finance.config,ConfigurationManager,32,201,3,9,10,53,4,22,2,18
Finance App Refactoring,com.university.finance.model,Account,20,108,2,14,3,27,4,16,2,10
Finance App Refactoring,com.university.finance.model,Transaction,25,149,5,11,5,36,6,16,1,13
Finance App Refactoring,com.university.finance.model,User,2,82,2,4,0,23,2,13,0,12
Finance App Refactoring,com.university.finance.model,Transaction.TransactionType,0,48,0,0,0,8,0,3,0,3
Finance App Refactoring,com.university.finance,MainApp,756,0,56,0,224,0,53,0,20,0
Finance App Refactoring,com.university.finance.pattern.observer,NotificationService,34,220,4,6,10,59,6,17,2,15
Finance App Refactoring,com.university.finance.pattern.observer,AuditLogger,30,158,6,6,7,33,6,11,1,10
